stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
06134000003,,9 de Julio y Sarmiento,,-34.941234,-58.613316,,,,,America/Argentina/Buenos_Aires,
06134000004,,9 de Julio y Rep. del Perú,,-34.939292,-58.609611,,,,,America/Argentina/Buenos_Aires,
06134000005,,RP205 y Los Robles,,-34.927409,-58.612435,,,,,America/Argentina/Buenos_Aires,
06134000006,,RP205 y Rep. de Venezuela,,-34.932147,-58.616568,,,,,America/Argentina/Buenos_Aires,
06134000007,,RP205 y Sarmiento,,-34.93426,-58.618367,,,,,America/Argentina/Buenos_Aires,
06134000008,,Estación Máximo Paz,,-34.936777,-58.619792,,,,,America/Argentina/Buenos_Aires,
06134000009,,9 de Julio y Rep. del Perú,,-34.939107,-58.609331,,,,,America/Argentina/Buenos_Aires,
06134000010,,9 de Julio y Sarmiento,,-34.941119,-58.613182,,,,,America/Argentina/Buenos_Aires,
06134000011,,Pereda y San Eduardo,,-34.941212,-58.616218,,,,,America/Argentina/Buenos_Aires,
06134000012,,Pereda y Máximo Paz,,-34.938861,-58.618069,,,,,America/Argentina/Buenos_Aires,
06134000013,,Estación Máximo Paz,,-34.936686,-58.619876,,,,,America/Argentina/Buenos_Aires,
06134000014,,RP205 y Sarmiento,,-34.934328,-58.618338,,,,,America/Argentina/Buenos_Aires,
06134000015,,RP205 y Rep. de Venezuela,,-34.93221,-58.616534,,,,,America/Argentina/Buenos_Aires,
06134000016,,RP205 y Los Robles,,-34.927416,-58.612354,,,,,America/Argentina/Buenos_Aires,
06245002000,,158 y 4,,-34.875367,-57.896173,,,,,America/Argentina/Buenos_Aires,
06245002004,,Club YPF,,-34.872844,-57.903046,,,,,America/Argentina/Buenos_Aires,
06245002006,,Gilberto Gaggino y Holanda,,-34.870679,-57.902057,,,,,America/Argentina/Buenos_Aires,
06245002008,,Gilberto Gaggino y Austria,,-34.868408,-57.900848,,,,,America/Argentina/Buenos_Aires,
06245002010,,Gilberto Gaggino y Italia,,-34.865095,-57.899149,,,,,America/Argentina/Buenos_Aires,
02063000003,,Puente Liniers,,-34.638303,-58.530069,,,,,America/Argentina/Buenos_Aires,
06098002130,,30 y Punta Piedras,,-34.876339,-57.859612,,,,,America/Argentina/Buenos_Aires,
06098002131,,30 y 173 Norte,,-34.875084,-57.858603,,,,,America/Argentina/Buenos_Aires,
06098002132,,30 y N. H. Beguin,,-34.874133,-57.857843,,,,,America/Argentina/Buenos_Aires,
06098002133,,N. H. Beguin y Banco Provincia,,-34.87469,-57.856895,,,,,America/Argentina/Buenos_Aires,
06098002134,,General Savio y Palo Blanco,,-34.875963,-57.855458,,,,,America/Argentina/Buenos_Aires,
06098002135,,Palo Blanco y Teodoro Funchs,,-34.8751,-57.85464,,,,,America/Argentina/Buenos_Aires,
06098002136,,Teodoro Funchs y 9 De Julio,,-34.875874,-57.853198,,,,,America/Argentina/Buenos_Aires,
06098002137,,Teodoro Funchs y 34,,-34.876578,-57.851936,,,,,America/Argentina/Buenos_Aires,
06098002138,,34 y Av. Montevideo,,-34.877649,-57.852684,,,,,America/Argentina/Buenos_Aires,
06098002139,,42 y Corrientes,,-34.882121,-57.845879,,,,,America/Argentina/Buenos_Aires,
06098002140,,General Roca y Entre Ríos,,-34.883079,-57.846641,,,,,America/Argentina/Buenos_Aires,
06098002141,,42 y 173,,-34.885247,-57.848431,,,,,America/Argentina/Buenos_Aires,
06098002143,,173 y 43,,-34.886285,-57.846754,,,,,America/Argentina/Buenos_Aires,
06098002144,,173 y 45,,-34.886821,-57.845784,,,,,America/Argentina/Buenos_Aires,
06098002145,,45 y 172,,-34.885627,-57.844736,,,,,America/Argentina/Buenos_Aires,
06098002147,,45 y Corrientes,,-34.88375,-57.843196,,,,,America/Argentina/Buenos_Aires,
06098002300,,30 y 172,,-34.877164,-57.860363,,,,,America/Argentina/Buenos_Aires,
06098002302,,30 y 170,,-34.878935,-57.861828,,,,,America/Argentina/Buenos_Aires,
06098002304,,30 y 168,,-34.880176,-57.862862,,,,,America/Argentina/Buenos_Aires,
06098002306,,30 y 166,,-34.88202,-57.864363,,,,,America/Argentina/Buenos_Aires,
06098002308,,30 y 164,,-34.883162,-57.865331,,,,,America/Argentina/Buenos_Aires,
06098002310,,30 y 162 Norte,,-34.884703,-57.866614,,,,,America/Argentina/Buenos_Aires,
06098002312,,30 y 161,,-34.886564,-57.868151,,,,,America/Argentina/Buenos_Aires,
06098002314,,30 y 159,,-34.888019,-57.869384,,,,,America/Argentina/Buenos_Aires,
06098002316,,157 y 29,,-34.888459,-57.871662,,,,,America/Argentina/Buenos_Aires,
06098002318,,157 y 25,,-34.887401,-57.873518,,,,,America/Argentina/Buenos_Aires,
06098002319,,26 y 158,,-34.886066,-57.87411,,,,,America/Argentina/Buenos_Aires,
06098002320,,26 y 160,,-34.884561,-57.872846,,,,,America/Argentina/Buenos_Aires,
06098002321,,26 y 160,,-34.88465,-57.872987,,,,,America/Argentina/Buenos_Aires,
06098002322,,26 y 158,,-34.885973,-57.874093,,,,,America/Argentina/Buenos_Aires,
06098002323,,157 y 28,,-34.887374,-57.87365,,,,,America/Argentina/Buenos_Aires,
06098002324,,157 y 29,,-34.888432,-57.87179,,,,,America/Argentina/Buenos_Aires,
06098002325,,30 y 158,,-34.888046,-57.869313,,,,,America/Argentina/Buenos_Aires,
06098002326,,30 y 160,,-34.886634,-57.86812,,,,,America/Argentina/Buenos_Aires,
06098002330,,26 y 162,,-34.882996,-57.87158,,,,,America/Argentina/Buenos_Aires,
06098002332,,26 y 163,,-34.88136,-57.870215,,,,,America/Argentina/Buenos_Aires,
06098002334,,164 y 25,,-34.879785,-57.870566,,,,,America/Argentina/Buenos_Aires,
06098002336,,164 y 23,,-34.878776,-57.872367,,,,,America/Argentina/Buenos_Aires,
06098002338,,164 y 21,,-34.87794,-57.873864,,,,,America/Argentina/Buenos_Aires,
06098002340,,164 y 19,,-34.876695,-57.876081,,,,,America/Argentina/Buenos_Aires,
06098002342,,164 y 18,,-34.876047,-57.877222,,,,,America/Argentina/Buenos_Aires,
06098002344,,18 y 165,,-34.875225,-57.876618,,,,,America/Argentina/Buenos_Aires,
06098002346,,18 y 165,,-34.874367,-57.875916,,,,,America/Argentina/Buenos_Aires,
06098002348,,Av. 4 y 166,,-34.866783,-57.890523,,,,,America/Argentina/Buenos_Aires,
06098002350,,Av. 4 y 164,,-34.86893,-57.891648,,,,,America/Argentina/Buenos_Aires,
06098002351,,4 y Av. Montevideo,,-34.865717,-57.889882,,,,,America/Argentina/Buenos_Aires,
06098002352,,Av. 4 y 162,,-34.871209,-57.892835,,,,,America/Argentina/Buenos_Aires,
06098002353,,Av. 4 y 164,,-34.869016,-57.891609,,,,,America/Argentina/Buenos_Aires,
06098002354,,Av. 4 y 160,,-34.873473,-57.894223,,,,,America/Argentina/Buenos_Aires,
06098002355,,Av. 4 y 162,,-34.871321,-57.892816,,,,,America/Argentina/Buenos_Aires,
06098002356,,Av. 4 y 159,,-34.874347,-57.894776,,,,,America/Argentina/Buenos_Aires,
06098002357,,Av. 4 y 160,,-34.873492,-57.894151,,,,,America/Argentina/Buenos_Aires,
06098002358,,Av. 4 y 158,,-34.876291,-57.896258,,,,,America/Argentina/Buenos_Aires,
06098002359,,Av. 4 y 159,,-34.874631,-57.894727,,,,,America/Argentina/Buenos_Aires,
06098002360,,Av. 4 y 157,,-34.878044,-57.897691,,,,,America/Argentina/Buenos_Aires,
06098002362,,Av. 4 y 153,,-34.880289,-57.899585,,,,,America/Argentina/Buenos_Aires,
06098002364,,Av. 4 y 151,,-34.882117,-57.901572,,,,,America/Argentina/Buenos_Aires,
06098002365,,Av. 4 y 151,,-34.882385,-57.901567,,,,,America/Argentina/Buenos_Aires,
06098002366,,Av. 4 y 150,,-34.883693,-57.90325,,,,,America/Argentina/Buenos_Aires,
06098002367,,Av. 4 y 150,,-34.883848,-57.90305,,,,,America/Argentina/Buenos_Aires,
06098002368,,Av. Montevideo y 31,,-34.876791,-57.858142,,,,,America/Argentina/Buenos_Aires,
06098002370,,162 y 29,,-34.884732,-57.868545,,,,,America/Argentina/Buenos_Aires,
06098002372,,162 y 27,,-34.883703,-57.870326,,,,,America/Argentina/Buenos_Aires,
06098002374,,162 y 26,,-34.882955,-57.871462,,,,,America/Argentina/Buenos_Aires,
06098002376,,162 y 25,,-34.882297,-57.872629,,,,,America/Argentina/Buenos_Aires,
06098002378,,162 y 23,,-34.881289,-57.87444,,,,,America/Argentina/Buenos_Aires,
06098002380,,162 y 21,,-34.880463,-57.875895,,,,,America/Argentina/Buenos_Aires,
06098002382,,162 y 19,,-34.879215,-57.878127,,,,,America/Argentina/Buenos_Aires,
06098002384,,162 y 17,,-34.877973,-57.880353,,,,,America/Argentina/Buenos_Aires,
06098002385,,162 y 15,,-34.876796,-57.88251,,,,,America/Argentina/Buenos_Aires,
06098002386,,17 y 161,,-34.87876,-57.881075,,,,,America/Argentina/Buenos_Aires,
06098002387,,162 y 14,,-34.876135,-57.883662,,,,,America/Argentina/Buenos_Aires,
06098002388,,14 y 163,,-34.874504,-57.88236,,,,,America/Argentina/Buenos_Aires,
06098002389,,14 y 165,,-34.87281,-57.880973,,,,,America/Argentina/Buenos_Aires,
06098002390,,34 y 172,,-34.880894,-57.855348,,,,,America/Argentina/Buenos_Aires,
06098002392,,34 y 169,,-34.882154,-57.856419,,,,,America/Argentina/Buenos_Aires,
06098002394,,34 y 170,,-34.881504,-57.855805,,,,,America/Argentina/Buenos_Aires,
06098002396,,34 y 173,,-34.879759,-57.85433,,,,,America/Argentina/Buenos_Aires,
