trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
111FI0,111,FI,a V. Adelina x C. Larralde y Maipu,071A,0,,1110,,
111FI1,111,FI,a Miserere x C. Larralde y Maipu,071A,1,,1111,,
111HI0,111,HI,a V. Adelina x C. Larralde y Maipu,071A,0,,1110,,
111HI1,111,HI,a Miserere x C. Larralde y Maipu,071A,1,,1111,,
111SI0,111,SI,a V. Adelina x C. Larralde y Maipu,071A,0,,1110,,
111SI1,111,SI,a Miserere x C. Larralde y Maipu,071A,1,,1111,,
112DI0,112,DI,a V. Adelina x Panamericana,071B,0,,1120,,
112DI1,112,DI,a Miserere x Panamericana,071B,1,,1121,,
112FI0,112,FI,a V. Adelina x Panamericana,071B,0,,1120,,
112FI1,112,FI,a Miserere x Panamericana,071B,1,,1121,,
112HI0,112,HI,a V. Adelina x Panamericana,071B,0,,1120,,
112HI1,112,HI,a Miserere x Panamericana,071B,1,,1121,,
112SI0,112,SI,a V. Adelina x Panamericana,071B,0,,1120,,
112SI1,112,SI,a Miserere x Panamericana,071B,1,,1121,,
113DI0,113,DI,a Retiro,106A,0,,1130,,
113DI1,113,DI,a Liniers,106A,1,,1131,,
113FI0,113,FI,a Retiro,106A,0,,1130,,
113FI1,113,FI,a Liniers,106A,1,,1131,,
113HI0,113,HI,a Retiro,106A,0,,1130,,
113HI1,113,HI,a Liniers,106A,1,,1131,,
113SI0,113,SI,a Retiro,106A,0,,1130,,
113SI1,113,SI,a Liniers,106A,1,,1131,,
1146DI0,1146,DI,a Boca Cerrada - IDA,275B,0,,11460,,
1146DI1,1146,DI,a Boca Cerrada - VUELTA,275B,1,,11461,,
1146HI0,1146,HI,a Boca Cerrada - IDA,275B,0,,11460,,
1146HI1,1146,HI,a Boca Cerrada - VUELTA,275B,1,,11461,,
1146SI0,1146,SI,a Boca Cerrada - IDA,275B,0,,11460,,
1146SI1,1146,SI,a Boca Cerrada - VUELTA,275B,1,,11461,,
1147DI0,1147,DI,Punta Lara x Bossigna - IDA,275C,0,,11470,,
1147DI1,1147,DI,Punta Lara x Bossigna - VUELTA,275C,1,,11471,,
1147HI0,1147,HI,Punta Lara x Bossigna - IDA,275C,0,,11470,,
1147HI1,1147,HI,Punta Lara x Bossigna - VUELTA,275C,1,,11471,,
1147SI0,1147,SI,Punta Lara x Bossigna - IDA,275C,0,,11470,,
1147SI1,1147,SI,Punta Lara x Bossigna - VUELTA,275C,1,,11471,,
1149DI0,1149,DI,Mosconi - IDA,275E,0,,11490,,
1149HI0,1149,HI,Mosconi - IDA,275E,0,,11490,,
1149SI0,1149,SI,Mosconi - IDA,275E,0,,11490,,
114DI0,114,DI,a Correo Central,109A,0,,1140,,
114DI1,114,DI,Est. Liniers,109A,1,,1141,,
114FI0,114,FI,a Correo Central,109A,0,,1140,,
114FI1,114,FI,Est. Liniers,109A,1,,1141,,
114HI0,114,HI,a Correo Central,109A,0,,1140,,
114HI1,114,HI,Est. Liniers,109A,1,,1141,,
114SI0,114,SI,a Correo Central,109A,0,,1140,,
114SI1,114,SI,Est. Liniers,109A,1,,1141,,
1152HI1,1152,HI,Siderar - VUELTA,275H,1,,11521,,
1155DI0,1155,DI,a Arroyo El Gato - IDA,275K,0,,11550,,
1155DI1,1155,DI,a Arroyo El Gato - VUELTA,275K,1,,11551,,
1155FI0,1155,FI,a Arroyo El Gato - IDA,275K,0,,11550,,
1155FI1,1155,FI,a Arroyo El Gato - VUELTA,275K,1,,11551,,
1155HI0,1155,HI,a Arroyo El Gato - IDA,275K,0,,11550,,
1155HI1,1155,HI,a Arroyo El Gato - VUELTA,275K,1,,11551,,
1155SI0,1155,SI,a Arroyo El Gato - IDA,275K,0,,11550,,
